nObserver,cond,nEsti,nDictator,prefDictator,estim,RT,accuracy
24,4,2,14,0.563636363636364,0.655273,7.611387,0.908363363636364
24,4,3,14,0.563636363636364,0.535156,4.487107,0.971519636363636
24,4,4,14,0.563636363636364,0.341797,11.591374,0.778160636363636
24,4,1,13,0.921212121212121,0.473633,12.281532,0.552420878787879
24,4,2,13,0.921212121212121,0.505859,3.712252,0.584646878787879
24,4,3,13,0.921212121212121,0.417969,3.5249,0.496756878787879
24,4,4,13,0.921212121212121,0.476562,4.731271,0.555349878787879
24,1,1,2,0.624242424242424,0.423828,2.954813,0.799585575757576
24,1,2,2,0.624242424242424,0.59668,5.506488,0.972437575757576
24,1,3,2,0.624242424242424,0.567383,4.887882,0.943140575757576
24,1,4,2,0.624242424242424,0.728516,1.985914,0.895726424242424
24,1,1,4,1,0.605469,4.396436,0.605469
24,1,2,4,1,0.769531,4.594009,0.769531
24,1,3,4,1,0.810547,2.56988,0.810547
24,1,4,4,1,1,2.853002,1
24,1,1,10,0.115151515151515,0.582031,3.434824,0.533120515151515
24,1,2,10,0.115151515151515,0.022461,8.199924,0.907309484848485
24,1,3,10,0.115151515151515,0,11.434162,0.884848484848485
24,1,4,10,0.115151515151515,0.042969,2.843798,0.927817484848485
24,1,1,5,0.872727272727273,0.1,2.715744,0.227272727272727
24,1,2,5,0.872727272727273,0.845703,3.651837,0.972975727272727
24,1,3,5,0.872727272727273,0.863281,2.937699,0.990553727272727
24,1,4,5,0.872727272727273,0.854492,4.563052,0.981764727272727
25,3,1,1,0.509090909090909,0.541016,114.141961,0.968074909090909
25,3,2,1,0.509090909090909,0.754883,23.244252,0.754207909090909
25,3,3,1,0.509090909090909,0.59082,5.15864,0.918270909090909
25,3,4,1,0.509090909090909,0.242188,16.422342,0.733097090909091
25,3,1,16,0.951515151515152,0.50293,20.078672,0.551414848484848
25,3,2,16,0.951515151515152,0.227539,14.660267,0.276023848484849
25,3,3,16,0.951515151515152,0.810547,13.392152,0.859031848484848
25,3,4,16,0.951515151515152,0.883789,4.315195,0.932273848484849
25,3,1,5,0.872727272727273,0.148438,12.693926,0.275710727272727
25,3,2,5,0.872727272727273,0.253906,13.120088,0.381178727272727
25,3,3,5,0.872727272727273,0.558594,19.232135,0.685866727272727
25,3,4,5,0.872727272727273,0.628906,8.138217,0.756178727272727
25,3,1,11,0.690909090909091,1,8.127989,0.690909090909091
25,3,2,11,0.690909090909091,0.526367,13.964946,0.835457909090909
25,3,3,11,0.690909090909091,0.256836,13.579313,0.565926909090909
25,3,4,11,0.690909090909091,0.529297,12.891694,0.838387909090909
25,4,1,3,0.721212121212121,0.505859,13.407264,0.784646878787879
25,4,2,3,0.721212121212121,0.699219,11.949249,0.978006878787879
25,4,3,3,0.721212121212121,0.50293,18.968575,0.781717878787879
25,4,4,3,0.721212121212121,0.453125,6.526026,0.731912878787879
25,4,1,9,0.757575757575758,0,3.206829,0.242424242424242
25,4,2,9,0.757575757575758,0.376953,6.74859,0.619377242424242
25,4,3,9,0.757575757575758,0.754883,26.429585,0.997307242424242
25,4,4,9,0.757575757575758,0.78125,5.126825,0.976325757575758
25,4,1,10,0.115151515151515,0.075195,6.208459,0.960043484848485
25,4,2,10,0.115151515151515,0.526367,11.016514,0.588784515151515
25,4,3,10,0.115151515151515,0.69043,30.71504,0.424721515151515
25,4,4,10,0.115151515151515,0.183594,5.888802,0.931557515151515
25,4,1,13,0.921212121212121,1,5.987192,0.921212121212121
25,4,2,13,0.921212121212121,0.725586,4.923004,0.804373878787879
25,4,3,13,0.921212121212121,0.749023,4.636437,0.827810878787879
25,4,4,13,0.921212121212121,0.511719,9.479588,0.590506878787879
25,1,1,8,0.672727272727273,0.3125,10.65509,0.639772727272727
25,1,2,8,0.672727272727273,0.552734,3.76479,0.880006727272727
25,1,3,8,0.672727272727273,0.669922,4.720866,0.997194727272727
25,1,4,8,0.672727272727273,1,9.304899,0.672727272727273
25,1,1,12,0.478787878787879,0.461914,6.06967,0.983126121212121
25,1,2,12,0.478787878787879,0.766602,8.778885,0.712185878787879
25,1,3,12,0.478787878787879,0.508789,7.993167,0.969998878787879
25,1,4,12,0.478787878787879,1,5.392636,0.478787878787879
25,1,1,4,1,0.1,8.125213,0.1
25,1,2,4,1,0.268555,12.537854,0.268555
25,1,3,4,1,0.602539,4.077347,0.602539
25,1,4,4,1,0.857422,7.210599,0.857422
25,1,1,15,0.824242424242424,0.520508,16.132964,0.696265575757576
25,1,2,15,0.824242424242424,0.646484,4.176388,0.822241575757576
25,1,3,15,0.824242424242424,0.713867,5.044145,0.889624575757576
25,1,4,15,0.824242424242424,0.725586,5.574759,0.901343575757576
25,2,1,6,1,0.517578,14.549894,0.517578
25,2,2,6,1,1,4.372211,1
25,2,3,6,1,1,11.522589,1
25,2,4,6,1,0.880859,16.455994,0.880859
25,2,1,7,0.951515151515152,0.485352,4.556619,0.533836848484848
25,2,2,7,0.951515151515152,0.1,3.945906,0.148484848484848
25,2,3,7,0.951515151515152,0.875,9.214281,0.923484848484848
25,2,4,7,0.951515151515152,1,6.296105,0.951515151515152
25,2,1,2,0.624242424242424,0,3.510182,0.375757575757576
25,2,2,2,0.624242424242424,0.511719,4.481357,0.887476575757576
25,2,3,2,0.624242424242424,0.666992,6.15891,0.957250424242424
25,2,4,2,0.624242424242424,0.552734,7.544883,0.928491575757576
25,2,1,14,0.563636363636364,0.1,2.128169,0.536363636363636
25,2,2,14,0.563636363636364,0.511719,3.221446,0.948082636363636
25,2,3,14,0.563636363636364,0.426758,6.709106,0.863121636363636
25,2,4,14,0.563636363636364,0.505859,11.613956,0.942222636363636
26,2,1,6,1,0.713867,3.441347,0.713867
26,2,2,6,1,1,2.541575,1
26,2,3,6,1,1,2.510487,1
26,2,4,6,1,1,2.052636,1
26,2,1,12,0.478787878787879,0.611328,3.521725,0.867459878787879
26,2,2,12,0.478787878787879,0.456055,5.048378,0.977267121212121
26,2,3,12,0.478787878787879,0,3.316,0.521212121212121
26,2,4,12,0.478787878787879,0.775391,4.052454,0.703396878787879
26,2,1,11,0.690909090909091,0.59082,3.247138,0.899910909090909
26,2,2,11,0.690909090909091,0.754883,3.406165,0.936026090909091
26,2,3,11,0.690909090909091,0.508789,5.419574,0.817879909090909
26,2,4,11,0.690909090909091,0.875,2.883251,0.815909090909091
26,2,1,15,0.824242424242424,0.1,2.214212,0.275757575757576
26,2,2,15,0.824242424242424,0.728516,2.786626,0.904273575757576
26,2,3,15,0.824242424242424,0.889648,2.167722,0.934594424242424
26,2,4,15,0.824242424242424,0.851562,3.548268,0.972680424242424
26,3,1,9,0.757575757575758,0.1,1.687517,0.342424242424242
26,3,2,9,0.757575757575758,0.584961,2.467316,0.827385242424242
26,3,3,9,0.757575757575758,0.643555,3.766526,0.885979242424242
26,3,4,9,0.757575757575758,0.508789,2.603277,0.751213242424242
26,3,1,3,0.721212121212121,0.1,1.012337,0.378787878787879
26,3,2,3,0.721212121212121,0.696289,3.254877,0.975076878787879
26,3,3,3,0.721212121212121,0.318359,2.625881,0.597146878787879
26,3,4,3,0.721212121212121,0.376953,3.417227,0.655740878787879
