nDictator,ch,RT,splitL,splitR
2,-1,1.09138,0.479917,0.3966
2,1,2.67527,0.705355,0.485969
2,-1,0.541302,0.510787,0.204468
2,1,0.56675,0,0.406661
2,-1,0.507898,0.904448,0.181125
2,-1,0.524608,0.496971,0.263319
2,-1,1.350172,0.83223,0.911968
2,1,1.266252,1,0.928272
2,-1,0.833402,0.588666,0.10566
2,-1,1.19969,0.625168,0.444227
2,1,1.066858,0.20388,0.811839
2,-1,0.617329,0.307672,0
2,-1,0.766346,0.600811,0.989326
2,-1,0.56676,0.275968,0
2,1,0.78345,0.084035,0.521561
2,1,0.907981,0.099157,0.620885
2,-1,3.00825,0.976029,0.103079
3,-1,4.12499,0.605053,0
3,-1,1.617419,0.402907,0.303918
3,-1,4.008293,0.70647,0.784532
3,-1,2.091305,0.508498,0.998135
3,1,1.341399,0.411076,0.708261
3,1,0.757963,0.026019,0.706857
3,1,1.449547,0.10534,0.980613
3,-1,4.933436,0.892974,0.283519
3,-1,0.991342,0.800284,1
3,1,2.750456,0.329356,0.414102
3,1,2.858111,0.705594,0.589821
3,1,0.950177,0,0.286173
3,-1,0.782965,0.891515,0.147285
3,1,0.800146,0.189493,0.594284
3,-1,1.708126,0.667408,0.286184
3,1,0.700546,0.197071,0.632303
3,1,0.650143,0.205681,0.320663
3,1,0.524604,0.190862,0.904148
3,-1,0.64123,0.410143,0.207329
3,1,0.849639,0.402208,0.784088
3,1,0.841318,0.790462,0.600172
3,-1,2.366947,0.571188,0.797239
3,1,1.816935,0.008219,0.183124
3,1,1.816289,0.340775,0.776627
3,-1,3.024835,0.406701,0.999244
3,1,0.716234,0.976334,0.717588
3,1,2.057982,0.908521,0.423931
3,-1,2.032964,0.977255,0
3,1,5.650235,0.105714,0.889008
3,-1,2.674726,1,0
3,-1,1.466235,0.690525,0.802812
3,1,0.832935,1,0.55713
3,1,0.666322,0.492675,0.68878
3,-1,0.574585,0.669394,1
3,-1,0.69129,0.587474,0.918874
3,-1,0.574581,0.667825,0.90558
3,-1,0.907974,0.687234,0.511779
3,1,0.949665,0.192011,0.591534
3,1,1.966961,0.996712,0.291163
3,-1,1.216372,0.297012,0
3,1,0.816737,0.970379,0.772653
3,1,1.857896,0.988072,0.480248
3,1,0.966742,0.89976,0.717528
3,1,1.04969,0,0.487938
3,-1,2.199683,0.715219,0.888068
3,1,0.557955,0.018961,0.591386
3,1,3.291508,0.981747,0.374147
3,-1,1.966291,0.31296,1
3,-1,0.641278,0.587027,0.305291
3,-1,0.524647,0.802894,0.192028
3,1,0.982952,0.76916,0.701014
3,-1,1.174492,0.903187,0.970065
3,-1,1.266396,0.609311,0.770597
3,1,2.149677,0.238491,0.918021
3,-1,0.482897,0.686442,0.001634
3,1,1.966283,0.368812,0.509464
3,-1,0.557937,0.613101,0.381745
3,-1,0.741334,0.66438,0.583433
3,1,1.549765,0.472957,0.752974
3,-1,0.550543,0.674573,0.318391
3,-1,0.424594,0.7127,0.223791
3,-1,1.108032,0.507113,0.920043
3,1,0.657897,0.086157,0.694094
3,-1,1.566928,0.081852,0
3,-1,1.274525,0.61799,0.422358
3,-1,1.682916,0.828321,0.896125
3,-1,0.50788,0.602952,0.290723
3,-1,0.516266,0.386756,0.182097
3,1,0.932964,0.946339,0.368086
3,-1,0.599997,0.222044,0.012495
3,1,1.133022,0.391691,0.681704
3,1,0.691548,0.883604,0.593019
3,-1,0.557897,0.387897,0.081685
3,1,0.741322,0.403331,0.607791
3,-1,3.949991,0.989407,0.105403
3,1,0.766733,0.008577,0.107835
3,-1,0.783005,0.581331,0.507282
3,-1,0.532954,0.566431,0.1138
3,-1,0.60793,0.314032,0.188594
3,1,0.557947,0.107247,0.326821
3,-1,0.833436,0.569911,0.707957
3,1,0.866781,0.066593,0.246622
3,-1,0.791216,0.61163,0.490193
3,-1,0.532939,0.692703,0.507752
3,-1,0.507952,0.815387,0.302543
3,-1,0.51627,0.487282,0.061857
3,-1,0.391191,0.70017,0.294622
3,-1,2.366363,0.192719,1
3,1,0.799648,1,0.902019
