nObserver,cond,nDictator,chDictator,RTDictator,splitL,splitR,chObserver,RTObserver,lastEstim,duration,selfChObserver,selfRTObserver,similarity
3,4,7,-1,2.683174,0.81274,0.679545,1,2.604779,0.634766,1,1,2.880598,0.575757575757576
3,4,7,-1,0.532966,0.689473,0.104801,-1,1.054246,0.634766,0,1,1.765914,0.575757575757576
3,4,7,1,0.532977,0.20277,0.868216,1,1.037959,0.634766,0,-1,1.629258,0.575757575757576
3,4,11,1,0.666854,0,0.420608,1,1.391194,0.599609,0,-1,2.327437,0.836363636363636
3,4,11,1,0.624629,0.005939,0.501304,1,1.546169,0.599609,0,-1,0.606061,0.836363636363636
3,4,11,1,2.966579,0.381785,0.771742,1,3.113975,0.599609,1,-1,1.550057,0.836363636363636
3,4,11,1,4.384084,0.288038,0.860615,1,3.414222,0.599609,1,-1,1.175728,0.836363636363636
3,4,6,-1,4.366728,0.994777,0.595016,1,1.866599,0.570312,1,-1,1.113631,0.527272727272727
3,4,6,-1,1.000143,0.107352,0.003723,-1,0.968824,0.570312,0,-1,1.966266,0.527272727272727
3,4,6,1,2.616435,0.612767,0.876776,-1,5.355711,0.570312,1,1,2.999615,0.527272727272727
3,4,6,-1,1.016852,0.305985,0.071196,-1,2.671281,0.570312,0,-1,0.926754,0.527272727272727
3,4,12,1,0.599629,0.999124,0.706646,1,0.937213,0.520508,0,-1,1.144807,0.951515151515152
3,4,12,-1,3.774998,0.082238,0.929563,1,1.325653,0.520508,1,-1,1.114045,0.951515151515152
3,4,12,1,0.624599,1,0.860423,1,0.760528,0.520508,0,-1,2.549789,0.951515151515152
3,4,12,-1,3.925044,0.403519,0.605737,1,2.011289,0.520508,1,-1,1.583748,0.951515151515152
3,2,3,1,0.466706,0,0.367382,1,1.490276,0.49707,0,-1,2.327437,0.806060606060606
3,2,3,1,2.149677,0.238491,0.918021,-1,3.176464,0.49707,1,-1,1.629258,0.806060606060606
3,2,3,-1,0.474599,0.791126,0.300575,1,2.012371,0.49707,0,-1,2.749399,0.806060606060606
3,2,3,-1,6.875498,0.897626,0.271551,1,1.528118,0.49707,1,-1,1.175728,0.806060606060606
3,2,4,-1,3.192053,0.879833,0.585109,-1,1.198741,1,1,1,2.999615,0.527272727272727
3,2,4,1,0.666286,0.802544,0.998746,1,0.619966,1,0,-1,1.117891,0.527272727272727
3,2,4,-1,0.650065,0.537315,0.016012,-1,0.718882,1,0,-1,0.606061,0.527272727272727
3,2,4,-1,1.733181,0.991625,0.486475,-1,0.620541,1,1,-1,0.870112,0.527272727272727
3,2,9,-1,0.700057,0.210235,0.037963,-1,1.184207,0.567383,0,1,0.968999,0.76969696969697
3,2,9,1,2.958114,0.883084,0.553887,1,1.756168,0.567383,1,1,2.999615,0.76969696969697
3,2,9,1,0.700111,0.10596,0.586946,1,1.322762,0.567383,0,-1,2.394858,0.76969696969697
3,2,9,-1,4.241698,0.809005,0.393009,1,2.691478,0.567383,1,-1,1.550057,0.76969696969697
3,2,10,-1,1.650306,0.008676,0.592791,-1,1.214694,0.057617,1,1,5.652761,0.587878787878788
3,2,10,-1,0.432934,0.08856,0.697955,-1,0.799329,0.057617,0,1,1.765914,0.587878787878788
3,2,10,-1,1.92471,0.233369,0.288051,-1,2.37023,0.057617,1,-1,1.409544,0.587878787878788
3,2,10,1,0.432911,0.93133,0.117453,1,0.633332,0.057617,0,-1,1.114045,0.587878787878788
3,3,5,-1,1.799626,0.807223,0.475038,-1,2.553301,0.637695,1,1,1.296898,0.654545454545455
3,3,5,-1,0.416196,1,0.324547,-1,2.291333,0.637695,0,-1,0.944056,0.654545454545455
3,3,5,-1,0.407941,0.513428,0,-1,1.875142,0.637695,0,-1,0.606061,0.654545454545455
3,3,5,1,1.916812,0.297437,1,-1,2.356343,0.637695,1,-1,0.944056,0.654545454545455
3,3,8,-1,0.858004,0.600316,0,-1,1.013047,0.564453,0,1,5.652761,0.854545454545454
3,3,8,1,2.983227,0.427113,0.693287,1,1.984499,0.564453,1,-1,1.240369,0.854545454545454
3,3,8,1,0.833484,0,0.184209,1,0.866899,0.564453,0,1,0.968999,0.854545454545454
3,3,8,-1,4.267403,0.614735,0.689625,-1,2.569654,0.564453,1,-1,2.872776,0.854545454545454
3,3,13,1,0.382928,0,0.792983,1,0.636529,0.640625,0,1,2.852588,0.606060606060606
3,3,13,-1,0.391199,1,0.334265,-1,6.746602,0.640625,0,-1,0.944056,0.606060606060606
3,3,13,-1,1.066324,0.897506,0.689459,1,1.673232,0.640625,1,1,2.213898,0.606060606060606
3,3,13,-1,1.141368,0.882208,0.695151,1,1.276658,0.640625,1,1,2.213898,0.606060606060606
3,3,14,1,0.71632,0,0.526892,1,0.93907,0.576172,0,-1,0.606061,0.963636363636364
3,3,14,1,2.083073,0.288362,0.722026,1,1.292291,0.576172,1,-1,1.316743,0.963636363636364
3,3,14,-1,0.71676,0.431464,0.094208,-1,0.743306,0.576172,0,-1,1.557779,0.963636363636364
3,3,14,-1,2.983229,0.329952,0.80315,1,1.426964,0.576172,1,-1,2.749399,0.963636363636364
4,3,16,1,0.324536,0.684374,0.914881,1,4.613308,0.910156,0,-1,1.205497,0.703030303030303
4,3,16,1,1.716305,0.692258,0.892014,1,1.300317,0.910156,1,-1,1.205497,0.703030303030303
4,3,16,1,0.324552,0,0.768783,1,1.115926,0.910156,0,-1,2.006651,0.703030303030303
4,3,16,1,1.424572,0.614249,0.976462,1,1.533794,0.910156,1,1,1.899429,0.703030303030303
4,3,2,-1,0.466723,0.173366,0,-1,3.917766,0.447266,0,-1,1.928996,0.96969696969697
