nObserver,ch,RT,splitL,splitR
5,-1,1.780237,0.589968,0.90841
5,-1,1.893172,0.904291,0.809023
5,1,1.844703,0.123999,0.485869
5,-1,1.279965,0.847225,0.391753
5,-1,1.094943,0.882451,0.431462
5,-1,0.74063,0.614792,0.413627
5,1,1.256557,0.060745,0.313008
5,1,0.776538,0.793125,0.990569
5,-1,0.85104,0.887959,0.272323
5,1,1.418095,0.673362,0.506631
5,-1,0.766949,0.713393,0
5,-1,0.58986,0.875514,0.021951
5,1,0.611509,0.190157,0.928957
5,1,0.54044,0.086194,0.414537
5,-1,1.095159,0.621342,0.704217
5,1,0.756354,0.021818,0.088616
5,-1,0.731928,0.310359,0.193757
5,-1,0.664268,0.479083,0.210064
5,1,0.875272,0.702893,0.901551
5,-1,0.429617,0.673038,0.192003
5,-1,0.553451,0.594761,0.135515
5,1,0.569556,0.278783,0.489466
5,1,0.450237,0,0.488239
5,1,0.466908,0.114557,0.839523
5,-1,0.625966,0.885893,0.491222
5,-1,0.517463,0.389242,0.020557
5,-1,0.657919,0.497272,0.806613
5,-1,0.890273,0.398785,0.212834
5,-1,0.805344,0.988671,0.928871
5,1,0.653645,0.080263,1
5,-1,0.80295,0.705585,0.301363
6,-1,0.468217,1,0.673407
6,1,0.688199,0.41956,0.803556
6,1,0.738831,0.108916,0.218364
6,-1,0.415721,0.322044,0
6,1,0.389112,0.020989,0.782471
6,-1,0.39558,0.848392,0.503996
6,1,0.396197,0.406934,0.50444
6,-1,0.365667,0.484921,0
6,-1,0.38517,0.737364,0.290191
6,1,0.411422,0.297227,0.112148
6,-1,0.434724,0.601428,0.171651
6,1,0.431943,0.191963,0.919763
6,-1,0.383379,0.892908,0.143817
6,-1,0.323708,0.87928,0.016263
6,1,0.378621,0.20224,0.391113
6,1,0.603132,0.827775,0.984127
6,-1,0.364192,0.974772,0
6,-1,0.377049,0.985433,0.275435
6,1,0.507676,0.426101,0.746802
6,-1,0.36269,0.991987,0.100369
6,1,0.528384,0.898107,1
6,1,0.352077,0.061957,0.408403
6,1,0.346093,0.01126,0.114024
6,-1,0.388625,0.986586,0.173364
6,1,0.377421,0.315387,0.905405
6,1,0.374812,0.097945,0.737284
6,-1,0.481519,0.978645,0.496531
